time,symbol,ls_ratio_overall,price,time_diff_ms
1677223759253,BTC,0.968503937,23789.3,528
1677223764021,BTC,0.974723539,23789.8,259
1677223769648,BTC,0.983733386,23789.9,119
1677223774505,BTC,0.992428771,23789.9,750
1677223779176,BTC,0.996007984,23789.4,52
1677223784804,BTC,0.995211492,23787.6,469
1677223788747,BTC,1.00040008,23787.6,842
1677223793569,BTC,1.012072435,23788.6,1243
1677223799419,BTC,1.014504432,23788.7,992
1677223803889,BTC,1.699784017,23783,1015
1677223809685,BTC,1.650410814,23781,1114
1677223814224,BTC,1.518257366,23779.4,7
1677223819379,BTC,1.524614996,23782.9,103
1677223823948,BTC,1.512562814,23782.9,711
1677223828592,BTC,1.522068096,23782.7,349
1677223834710,BTC,1.523340903,23781.3,1394
1677223839222,BTC,1.518257366,23779.7,15
1677223843842,BTC,1.503755633,23777.1,385
1677223848868,BTC,1.477700694,23776.6,945
1677223854671,BTC,1.415458937,23772.8,1318
1677223859430,BTC,1.346316283,23770,693
1677223864032,BTC,1.115954295,23770,693
1677223868799,BTC,1.206044562,23784.1,958
1677223874715,BTC,1.223704692,23781,1395
1677223878813,BTC,1.233638597,23786.4,147
1677223884687,BTC,1.243158367,23786.5,483
1677223889388,BTC,1.263980077,23787.6,82
1677223894250,BTC,1.244668911,23783.6,564
1677223899022,BTC,1.227667632,23783.7,811
1677223903723,BTC,1.237637055,23783.8,340
1677223909896,BTC,1.276348737,23789.9,877
1677223914693,BTC,1.287805994,23787.7,289
1677223919642,BTC,1.315350776,23794.2,1611
1677223924521,BTC,1.378686965,23799.6,150
1677223929114,BTC,1.48200546,23806.3,887
1677223933882,BTC,1.556237219,23807.9,261
1677223939926,BTC,1.56344527,23808.9,614
1677223944502,BTC,1.50501002,23805.9,270
1677223949326,BTC,1.493143854,23806.3,984
1677223954136,BTC,1.462447673,23800.7,205
1677223958932,BTC,1.446183953,23799.7,310
1677223963561,BTC,1.359046945,23794.9,1309
1677223969572,BTC,1.364625207,23794.9,1056
1677223974136,BTC,1.356823003,23795,319
1677223978962,BTC,1.37699073,23798.3,399
1677223984035,BTC,1.299908004,23798.1,487
1677223988768,BTC,1.299379168,23799.9,264
1677223994594,BTC,1.314279102,23800,229
1677223999430,BTC,1.307869836,23800,507
1677224003968,BTC,1.316423442,23800,50
1677224008674,BTC,1.344665885,23803.4,347
1677224014521,BTC,1.328830927,23802.4,432
1677224019325,BTC,1.33426704,23802.4,13
1677224023918,BTC,1.344665885,23802.4,661
1677224029683,BTC,1.354048964,23802.4,576
1677224034164,BTC,1.347969007,23802.4,380
1677224039072,BTC,1.407318247,23805,556
1677224043759,BTC,1.316423442,23807,627
1677224049796,BTC,1.314279102,23806.9,163
1677224054813,BTC,1.323420074,23807,1562
1677224059329,BTC,1.323960028,23807,671
1677224063940,BTC,1.337540907,23807,336
1677224069491,BTC,1.344665885,23807.8,84
1677224073984,BTC,1.282062985,23803.7,474
1677224079781,BTC,1.283105023,23803.7,385
1677224084717,BTC,1.283626399,23803.7,375
1677224089415,BTC,1.287282708,23807.9,283
1677224094095,BTC,1.29147571,23807.9,30
1677224098984,BTC,1.299379168,23807.9,160
1677224103788,BTC,1.872737719,23814.2,497
1677224109906,BTC,1.965599051,23819.6,1419
1677224114960,BTC,2.052503053,23825,477
1677224119708,BTC,2.022974607,23823.7,18
1677224124473,BTC,1.994908655,23822,952
1677224129201,BTC,1.750275028,23815.7,350
1677224133810,BTC,1.630194634,23805.8,550
1677224139710,BTC,1.604845012,23803.9,66
1677224144502,BTC,1.614379085,23804.3,210
1677224149116,BTC,1.604845012,23804.5,522
1677224154057,BTC,1.627430373,23804.9,1033
1677224159719,BTC,1.652519894,23806.4,1116
1677224164426,BTC,1.556890821,23813.1,256
1677224169064,BTC,1.545824847,23812.3,15
1677224173875,BTC,1.553626149,23812.2,496
1677224179458,BTC,1.459419577,23802.5,80
1677224184439,BTC,1.442002442,23802.5,269
1677224189410,BTC,1.427773731,23802.5,82
1677224194151,BTC,1.392344498,23801.4,546
1677224198969,BTC,1.416042522,23801.9,570
1677224204479,BTC,1.388915432,23800.2,656
1677224208971,BTC,1.380385622,23800.3,11
1677224215026,BTC,1.369106847,23800.3,311
1677224219632,BTC,1.358490566,23800.2,193
1677224224112,BTC,1.320185615,23800.9,315
1677224229175,BTC,1.329916123,23800.9,73
1677224234980,BTC,1.332633543,23802.4,1152
1677224239586,BTC,1.343017807,23805,448
1677224244337,BTC,1.342468962,23804.9,382
1677224248898,BTC,1.332633543,23804.9,510
1677224254778,BTC,1.314814815,23802.1,861
1677224258608,BTC,1.316423442,23802.1,620
1677224264754,BTC,1.320724066,23809.9,580
1677224269797,BTC,1.298322225,23802.1,674
1677224273711,BTC,1.297266253,23802.1,851
1677224279767,BTC,1.311604253,23808.2,297
1677224284253,BTC,1.239641657,23816,761
1677224289312,BTC,1.282583885,23824,649
1677224293944,BTC,1.299908004,23824.9,146
1677224299652,BTC,1.270663034,23825,933
1677224304522,BTC,1.261420172,23823.6,504
1677224309257,BTC,1.246686138,23821.3,263
1677224314120,BTC,1.314814815,23820,258
1677224319281,BTC,1.265518804,23813.9,178
1677224324288,BTC,1.242152466,23806,502
1677224329065,BTC,1.229157379,23806,872
1677224334542,BTC,1.227171492,23806,901
1677224339447,BTC,1.228163993,23806.1,465
1677224344102,BTC,1.220741728,23818.8,118
1677224349232,BTC,1.224694105,23820,224
1677224354012,BTC,1.213368747,23818.7,133
1677224359688,BTC,1.214348981,23820,400
1677224364393,BTC,1.214348981,23818.9,114
1677224368960,BTC,1.218278616,23818.9,30
1677224373766,BTC,1.208968412,23818.1,603
1677224379721,BTC,1.176278564,23812.9,147
1677224384315,BTC,1.172024327,23814.6,76
1677224389076,BTC,1.142245073,23811.5,223
1677224394775,BTC,1.117746717,23809,573
1677224399348,BTC,1.11371803,23808.9,567
1677224404130,BTC,1.022653722,23808.1,183
1677224409167,BTC,1.023881805,23806.5,51
1677224413950,BTC,1.008435429,23806.6,410
1677224418909,BTC,1.021427128,23811.2,467
1677224424942,BTC,1.030456853,23811.3,522
1677224429572,BTC,1.018163471,23809.8,425
1677224433781,BTC,0.97394394,23804.3,307
1677224438767,BTC,0.954652072,23803.7,94
1677224444848,BTC,0.93723363,23803.2,152
1677224448749,BTC,0.91828122,23803.2,341
1677224454021,BTC,0.917545542,23803.3,649
1677224458723,BTC,0.942879347,23805.6,930
1677224463701,BTC,0.973554371,23807.2,131
1677224468651,BTC,0.981375074,23807.4,1217
1677224474590,BTC,0.982553529,23807.4,189
1677224479372,BTC,0.998001998,23807.3,72
1677224484053,BTC,0.99044586,23807.3,143
1677224489733,BTC,0.984914649,23807.3,520
1677224494573,BTC,0.963864886,23804,159
1677224499266,BTC,0.947040498,23804,461
1677224504943,BTC,1.041232905,23813.3,17
1677224508647,BTC,1.119093028,23815.3,112
1677224514830,BTC,1.120441052,23813.3,1296
1677224519192,BTC,1.144082333,23818.9,834
1677224523990,BTC,1.124495432,23819,34
1677224528729,BTC,1.145462347,23819.2,424
1677224534744,BTC,1.149151085,23819.9,749
1677224539796,BTC,1.183406114,23824.2,409
1677224544393,BTC,1.189141856,23825.6,38
1677224549015,BTC,1.21141088,23824.8,201
1677224554200,BTC,1.189621196,23822,418
1677224559731,BTC,1.176278564,23821.9,408
1677224564557,BTC,1.172968275,23821.9,357
1677224569205,BTC,1.198285337,23823.4,66
1677224573789,BTC,1.213368747,23824.3,69
1677224579606,BTC,1.240645306,23827.2,1093
1677224584248,BTC,1.268602541,23830.4,10
1677224589004,BTC,1.283105023,23832.8,522
1677224594781,BTC,1.288329519,23832.8,142
1677224599718,BTC,1.240645306,23830.4,41
1677224604376,BTC,1.236135957,23830.3,101
1677224608907,BTC,1.236636099,23832,245
1677224614156,BTC,1.108814846,23823.9,717
1677224619976,BTC,1.095996646,23825.3,167
1677224624569,BTC,1.092487968,23823,90
1677224629557,BTC,1.083767452,23823,122
1677224634215,BTC,1.035830619,23820.3,178
1677224638950,BTC,1.042900919,23823.9,130
1677224643615,BTC,1.107925801,23825,138
1677224649558,BTC,1.168726957,23832.1,163
1677224653970,BTC,1.193944713,23833,475
1677224658936,BTC,1.243158367,23834.9,374
1677224664740,BTC,1.26295542,23837.8,830
1677224669397,BTC,1.273243919,23837.8,826
1677224674466,BTC,1.215330084,23832.6,748
1677224679123,BTC,1.23015165,23832.7,836
1677224684729,BTC,1.220741728,23832.7,71
1677224689746,BTC,1.21680337,23832.9,115
1677224694567,BTC,1.237637055,23837.2,196
1677224699223,BTC,1.225684398,23836,197
1677224704146,BTC,1.435460302,23836.1,560
1677224708875,BTC,1.421893921,23836.1,1014
1677224714584,BTC,1.406738869,23836,969
1677224719469,BTC,1.40442414,23836,894
1677224724043,BTC,1.341920375,23831.8,606
1677224728710,BTC,1.361275089,23834.7,1113
1677224734925,BTC,1.347969007,23836.7,1220
1677224739642,BTC,1.343017807,23838.1,1216
1677224744409,BTC,1.380385622,23838.1,451
1677224749074,BTC,1.369106847,23836,715
1677224753729,BTC,1.365744026,23835,846
1677224759739,BTC,1.367424242,23835,586
1677224764639,BTC,1.229157379,23835.1,437
1677224769292,BTC,0.938735944,23826,635
1677224773805,BTC,0.936108422,23825.1,1071
1677224778554,BTC,0.887861053,23822.1,1009
1677224784375,BTC,0.879345988,23821.3,191
1677224789035,BTC,0.887148519,23823.6,193
1677224793882,BTC,0.87899286,23818.7,370
1677224799680,BTC,0.861504095,23818.1,716
1677224803120,BTC,0.860119048,23820.2,1338
1677224809720,BTC,0.872308556,23823.3,680
1677224814289,BTC,0.916075877,23836,496
1677224818857,BTC,0.928640309,23835.9,38
1677224823695,BTC,0.813894431,23835.9,741
1677224829765,BTC,0.824484583,23832.3,628
1677224834628,BTC,0.822157434,23832.3,982
1677224839557,BTC,0.830496064,23833.1,956
1677224844155,BTC,0.815541031,23828.1,446
1677224848652,BTC,0.823154057,23827.4,788
1677224854797,BTC,0.816200509,23822.7,300
1677224859482,BTC,0.819174095,23822.4,437
1677224864422,BTC,0.833180568,23821.2,690
1677224869356,BTC,0.824484583,23819.4,884
1677224873997,BTC,0.825150575,23821.4,957
1677224879027,BTC,0.864975755,23826,661
1677224883841,BTC,0.900057002,23821,1080
1677224888614,BTC,0.906941266,23823.8,889
1677224894734,BTC,0.906214258,23823.7,1551
