time,ls_ratio_overall,price,L_ratio
1674180629729,0.7409470752089137,21120.1,0.42560000000000003
1674180634874,0.7436791630340017,21120.1,0.42650000000000005
1674180638920,0.7473353136466889,21120.0,0.4277
1674180644187,0.7513134851138353,21120.1,0.42899999999999994
1674180679749,0.647175094712568,21114.4,0.3929
1674180684961,0.6417665407978986,21114.4,0.3909000000000001
1674180689189,0.6363933889707086,21112.6,0.3889000000000001
1674180694324,0.6680567139282735,21112.0,0.4005
1674180699393,0.6700066800267199,21112.5,0.40119999999999995
1674180704497,0.669449081803005,21112.4,0.401
1674180709556,0.6739203213927016,21113.6,0.40259999999999996
1674180739748,0.8231540565177757,21124.4,0.4515
1674180744812,0.8301610541727672,21123.9,0.4536
1674180748898,0.8439977872026555,21123.9,0.45770000000000005
1674180754489,0.849112426035503,21123.8,0.4592
1674180759865,0.834189288334556,21120.6,0.4547999999999999
1674180764164,0.8284878405558603,21118.0,0.4531
1674180769635,0.8201674554058974,21117.9,0.4506
1674180799974,1.1500752526338422,21116.6,0.5349
1674180804175,1.135839384878257,21115.5,0.5317999999999999
1674180809354,1.1326508850501174,21115.5,0.5310999999999999
1674180814378,1.1240441801189465,21115.6,0.5292
1674180819661,1.1003990758244069,21114.8,0.5239000000000001
1674180824663,1.0977554017201594,21114.9,0.5233
1674180829796,1.0894274968658588,21113.3,0.5214
1674180859264,1.0012007204322595,21113.9,0.5003000000000001
1674180864475,0.9984012789768186,21114.0,0.49960000000000004
1674180869851,0.9932230416583616,21114.0,0.4983
1674180873904,0.9916351324437362,21111.1,0.4979
1674180879169,0.9164430816404752,21102.5,0.47819999999999996
1674180884508,0.7015484090522375,21101.0,0.4123
1674180888618,0.6995241332426919,21100.7,0.41159999999999997
1674180923869,0.6142050040355125,21095.9,0.3805
1674180929162,0.6108247422680413,21095.9,0.37920000000000004
1674180934752,0.6121231662098984,21095.9,0.3797
1674180939808,0.6202203499675957,21098.1,0.3828000000000001
1674180944750,0.6283992835043154,21099.3,0.3859
1674180948984,0.6342539630658605,21099.6,0.3881
1674180953896,0.6455487905216388,21101.0,0.3922999999999999
1674180984750,0.6616816218012629,21100.6,0.3982
1674180989316,0.6719612104999163,21100.5,0.4019
1674180994606,0.6761649346295676,21100.9,0.40340000000000004
1674180999556,0.6952025767079165,21102.6,0.41009999999999996
1674181004890,0.7513134851138353,21104.6,0.42899999999999994
1674181008873,0.737921445950643,21101.2,0.4246
1674181014924,0.7418568193694479,21101.2,0.4259
1674181044812,0.5860428231562252,21108.9,0.3695
1674181049134,0.5862944162436549,21106.8,0.36960000000000004
1674181054295,0.5862944162436549,21108.9,0.36960000000000004
1674181059767,0.5915963711602737,21109.0,0.37170000000000003
1674181064932,0.6087516087516088,21110.4,0.3784
1674181069052,0.6100466913540493,21110.4,0.37890000000000007
1674181074497,0.6113438607798903,21110.5,0.3794
1674181109072,1.1092596498628984,21119.3,0.5259
1674181114507,1.064409578860446,21117.2,0.5156
1674181118946,1.2914757103574699,21125.5,0.5636
1674181124337,1.4125452352231602,21134.6,0.5854999999999999
1674181129333,1.443195699975568,21132.5,0.5907
1674181134688,1.4467824810374361,21132.0,0.5913
1674181138854,1.443195699975568,21132.0,0.5907
